file-name,N,edges-number,locality-min,locality-max,locality,ps-mu-steps,ps-sigma-steps,ps-distance,d0-steps,d0-distance,d1-steps,d1-distance,d2-steps,d2-distance
0.json,4,2,-2,2,[-2\comma 2],8.58,6.62,2.211E-02,9,2.337E-03,15,1.298E-03,22,7.240E-04
1.json,16,2,-2,2,[-2\comma 2],48.23,27.93,7.667E-03,48,8.576E-04,76,4.015E-04,104,3.983E-04
2.json,16,2,-4,4,[-4\comma 4],63.47,36.26,4.889E-04,63,6.109E-04,100,5.725E-04,136,8.338E-04
3.json,16,2,-8,8,[-8\comma 8],36.30,21.20,4.120E-04,36,6.870E-04,57,4.621E-04,79,5.291E-04
4.json,16,4,-2,2,[-2\comma 2],53.64,35.19,1.682E-03,54,6.256E-04,89,4.643E-04,124,5.031E-04
5.json,16,4,-4,4,[-4\comma 4],26.34,15.19,7.047E-04,26,2.471E-04,42,4.659E-04,57,3.895E-04
6.json,16,4,-8,8,[-8\comma 8],26.88,15.83,5.776E-04,27,5.807E-04,43,4.204E-04,59,4.451E-04
8.json,16,8,-4,4,[-4\comma 4],30.47,17.93,4.215E-04,30,5.126E-04,48,4.698E-04,66,4.380E-04
9.json,16,8,-8,8,[-8\comma 8],29.74,17.57,5.133E-04,30,5.650E-04,47,5.106E-04,65,5.309E-04
10.json,64,3,-3,3,[-3\comma 3],379.81,230.86,1.429E-04,380,3.639E-04,611,1.719E-04,842,1.334E-04
11.json,64,3,-6,6,[-6\comma 6],168.53,94.27,1.283E-04,169,1.454E-04,263,1.344E-04,357,1.447E-04
12.json,64,3,-12,12,[-12\comma 12],137.74,75.64,1.278E-04,138,1.230E-04,213,1.339E-04,289,1.797E-04
13.json,64,6,-3,3,[-3\comma 3],276.80,162.71,1.345E-04,277,1.454E-04,440,1.211E-04,602,1.340E-04
14.json,64,6,-6,6,[-6\comma 6],132.22,73.82,1.120E-04,132,1.437E-04,206,1.540E-04,280,1.533E-04
15.json,64,6,-12,12,[-12\comma 12],135.20,76.08,1.634E-04,135,1.481E-04,211,1.616E-04,287,1.555E-04
17.json,64,12,-6,6,[-6\comma 6],145.77,79.57,1.518E-04,146,1.587E-04,225,1.327E-04,305,1.126E-04
18.json,64,12,-12,12,[-12\comma 12],128.21,71.07,1.365E-04,128,1.304E-04,199,1.378E-04,270,1.633E-04
19.json,256,4,-4,4,[-4\comma 4],3805.59,2714.00,2.396E-05,3806,1.013E-04,6520,4.068E-05,9234,3.359E-05
20.json,256,4,-8,8,[-8\comma 8],801.71,445.26,3.354E-05,802,3.347E-05,1247,2.924E-05,1692,3.411E-05
21.json,256,4,-16,16,[-16\comma 16],557.70,304.48,3.739E-05,558,3.425E-05,862,3.712E-05,1167,3.776E-05
22.json,256,8,-4,4,[-4\comma 4],2764.65,1864.52,2.844E-05,2765,3.195E-05,4629,2.958E-05,6494,2.900E-05
23.json,256,8,-8,8,[-8\comma 8],952.78,547.30,3.596E-05,953,3.362E-05,1500,3.388E-05,2047,3.379E-05
24.json,256,8,-16,16,[-16\comma 16],570.15,311.29,3.704E-05,570,3.978E-05,881,3.616E-05,1193,3.753E-05
26.json,256,16,-8,8,[-8\comma 8],912.85,523.90,3.329E-05,913,3.353E-05,1437,3.653E-05,1961,3.415E-05
27.json,256,16,-16,16,[-16\comma 16],590.45,321.39,3.427E-05,590,3.543E-05,912,3.533E-05,1233,3.304E-05
